region,year,mig_total,mig_youth,pop_total,pop_youth,총_순이동률,청년_순이동률,bdg_관광,bdg_농업,bdg_일자리,bdg_복지,bdg_정주여건,bdg_기타,ep_관광,ep_농업,ep_일자리,ep_복지,ep_정주여건,ep_기타,treated,재정자립도,고령인구,고령화율,사업체수,log사업체수,행정유형,행정유형2,ep_A_청년정착,ep_B_생산유통,ep_C_어메니티,유형
강원평창군,2023,73.0,-86.0,40659.0,5724.0,0.1795420448117268,-1.5024458420684834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.48,13501.0,33.2054403699058,1788.0,7.488852955733459,군,군,0.0,0.0,0.0,소형농촌형
강원평창군,2024,93.0,-173.0,40396.0,5547.0,0.2302208139419744,-3.1188029565530915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.74,14167.0,35.070303990494104,1702.0,7.43955930913332,군,군,0.0,0.0,0.0,소형농촌형
경기가평군,2019,-204.0,-389.0,62415.0,12166.0,-0.3268445085316029,-3.197435475916489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.33,15423.0,24.71040615236722,3536.0,8.170751423757535,군,군,0.0,0.0,0.0,대형도시형
경기가평군,2020,349.0,-109.0,62377.0,11954.0,0.5595010981611812,-0.9118286765936088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.0,16324.0,26.169902367859947,2725.0,7.910223707097344,군,군,0.0,0.0,0.0,대형도시형
경기가평군,2021,582.0,-148.0,62264.0,11629.0,0.9347295387382758,-1.2726803680454035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.52,17035.0,27.3593087498394,3250.0,8.086410275323782,군,군,0.0,0.0,0.0,대형도시형
경기가평군,2022,576.0,-94.0,62150.0,11320.0,0.9267900241351568,-0.8303886925795053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16.76,17841.0,28.706355591311343,3637.0,8.19891444498699,군,군,0.0,0.0,0.0,대형도시형
경기가평군,2023,717.0,-12.0,62302.0,11137.0,1.150845879747039,-0.1077489449582472,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.9187,0.0,1,20.51,18713.0,30.035953901961417,3729.0,8.22389538017882,군,군,0.0,0.0,0.0,대형도시형
경기가평군,2024,682.0,2.0,62527.0,11066.0,1.0907288051561723,0.0180733779143321,0.0,0.0,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.2918,0.0,1,18.29,19831.0,31.71589873174788,3596.0,8.18757739559151,군,군,0.0,0.0,0.0,대형도시형
경기연천군,2019,-637.0,-328.0,43824.0,9804.0,-1.4535414384811975,-3.345573235414117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16.36,10990.0,25.07758305951077,1613.0,7.385851078125209,군,군,0.0,0.0,0.0,대형도시형
경기연천군,2020,-107.0,-166.0,43516.0,9623.0,-0.2458865704568434,-1.7250337732515848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.33,11490.0,26.40408125746852,1503.0,7.315218389752975,군,군,0.0,0.0,0.0,대형도시형
